층,직업,DPS,RDPS,시간
4층,BlackMage,"14,900.6","14,514.1",11:05
4층,Monk,"14,446.0","14,404.9",11:05
4층,Dragoon,"14,397.0","14,755.0",11:05
4층,Bard,"12,871.8","13,145.8",11:05
4층,DarkKnight,"8,744.9","8,374.9",11:05
4층,Paladin,"8,654.9","8,390.3",11:05
4층,WhiteMage,"8,602.3","8,397.6",11:05
4층,Scholar,"7,284.1","7,918.8",11:05
4층,BlackMage,"15,165.1","14,731.8",11:16
4층,Monk,"14,978.2","14,905.3",11:16
4층,Dragoon,"14,168.1","14,599.4",11:16
4층,Bard,"12,967.3","13,300.9",11:16
4층,Paladin,"8,340.2","8,050.8",11:16
4층,DarkKnight,"8,233.3","7,934.3",11:16
4층,WhiteMage,"7,312.3","7,155.8",11:16
4층,Scholar,"6,889.6","7,375.7",11:16
4층,BlackMage,"16,006.6","14,208.2",11:25
4층,Monk,"14,442.0","14,542.2",11:25
4층,Dragoon,"13,248.3","13,477.8",11:25
4층,Dancer,"11,559.4","13,296.4",11:25
4층,Paladin,"8,933.8","8,611.6",11:25
4층,Warrior,"8,468.5","8,216.6",11:25
4층,WhiteMage,"7,547.5","7,386.2",11:25
4층,Scholar,"7,175.8","7,642.9",11:25
4층,BlackMage,"15,462.6","15,085.0",11:29
4층,Monk,"14,872.4","14,784.7",11:29
4층,Dragoon,"13,802.6","14,117.8",11:29
4층,Bard,"13,015.5","13,224.5",11:29
4층,DarkKnight,"8,240.8","7,997.8",11:29
4층,WhiteMage,"7,448.3","7,299.3",11:29
4층,Paladin,"7,283.7","7,037.9",11:29
4층,Scholar,"6,920.3","7,499.3",11:29
4층,Monk,"15,160.7","14,918.2",11:33
4층,Dragoon,"14,216.0","14,283.4",11:33
4층,Bard,"12,861.3","12,957.9",11:33
4층,RedMage,"12,861.2","13,389.3",11:33
4층,Paladin,"8,783.1","8,383.1",11:33
4층,Gunbreaker,"8,736.1","8,225.8",11:33
4층,WhiteMage,"6,985.5","6,819.7",11:33
4층,Scholar,"6,704.8","7,331.1",11:33
4층,Monk,"15,002.7","14,882.6",11:39
4층,Dragoon,"14,033.9","14,021.8",11:39
4층,Bard,"12,974.7","12,904.8",11:39
4층,RedMage,"11,987.7","12,465.3",11:39
4층,Warrior,"8,721.8","8,402.2",11:39
4층,Paladin,"8,587.2","8,194.7",11:39
4층,WhiteMage,"7,546.2","7,373.9",11:39
4층,Scholar,"6,925.1","7,533.9",11:39
4층,BlackMage,"14,188.9","13,970.6",11:42
4층,Monk,"14,154.3","14,354.5",11:42
4층,Dragoon,"13,924.5","14,287.4",11:42
4층,Machinist,"13,096.6","12,790.4",11:42
4층,Gunbreaker,"8,068.5","7,816.9",11:42
4층,Warrior,"7,891.8","7,721.6",11:42
4층,WhiteMage,"7,457.4","7,320.3",11:42
4층,Scholar,"6,558.8","7,079.3",11:42
4층,BlackMage,"14,439.1","14,122.5",11:43
4층,Dragoon,"14,293.5","14,575.2",11:43
4층,Monk,"13,920.8","13,950.1",11:43
4층,Bard,"13,019.3","13,199.8",11:43
4층,Gunbreaker,"8,849.7","8,528.0",11:43
4층,Paladin,"7,964.7","7,711.2",11:43
4층,WhiteMage,"6,907.8","6,773.0",11:43
4층,Scholar,"6,354.1","6,889.3",11:43
4층,Monk,"14,378.3","14,513.0",11:44
4층,BlackMage,"14,049.9","13,807.6",11:44
4층,Dragoon,"13,692.5","13,994.4",11:44
4층,Machinist,"13,564.3","13,265.0",11:44
4층,Paladin,"7,916.5","7,735.0",11:44
4층,Warrior,"7,830.9","7,709.4",11:44
4층,WhiteMage,"7,320.4","7,228.3",11:44
4층,Scholar,"6,146.9","6,646.9",11:44
4층,Samurai,"14,379.9","13,944.4",11:44
4층,Monk,"14,065.9","14,207.3",11:44
4층,Machinist,"13,552.0","13,203.8",11:44
4층,RedMage,"12,333.6","12,951.0",11:44
4층,WhiteMage,"8,309.1","8,228.8",11:44
4층,DarkKnight,"7,978.6","7,766.2",11:44
4층,Gunbreaker,"7,975.8","7,703.9",11:44
4층,Scholar,"6,506.3","7,095.8",11:44
4층,BlackMage,"15,116.3","14,836.0",11:45
4층,Monk,"14,141.7","14,101.8",11:45
4층,Dragoon,"13,540.4","13,801.2",11:45
4층,Bard,"12,304.5","12,501.0",11:45
4층,Paladin,"8,543.3","8,291.6",11:45
4층,DarkKnight,"8,098.3","7,845.9",11:45
4층,WhiteMage,"7,143.8","6,955.0",11:45
4층,Scholar,"6,352.4","6,908.1",11:45
4층,BlackMage,"14,776.0","14,502.9",11:46
4층,Samurai,"13,748.5","13,549.4",11:46
4층,Dragoon,"13,745.1","14,165.4",11:46
4층,Machinist,"13,286.2","13,119.0",11:46
4층,Paladin,"8,105.5","7,978.9",11:46
4층,Warrior,"8,080.1","8,029.8",11:46
4층,WhiteMage,"7,258.5","7,162.0",11:46
4층,Scholar,"5,948.4","6,440.9",11:46
4층,BlackMage,"15,065.1","14,810.4",11:47
4층,Dragoon,"14,052.7","14,294.4",11:47
4층,Monk,"13,992.6","14,000.3",11:47
4층,Bard,"12,936.1","13,083.6",11:47
4층,Paladin,"8,522.6","8,258.6",11:47
4층,WhiteMage,"7,545.7","7,357.5",11:47
4층,DarkKnight,"7,299.8","7,015.2",11:47
4층,Scholar,"5,352.6","5,947.2",11:47
4층,Monk,"16,370.0","14,840.3",11:47
4층,BlackMage,"13,374.5","13,055.7",11:47
4층,Dragoon,"13,190.9","13,535.0",11:47
4층,Dancer,"10,915.1","12,675.6",11:47
4층,Gunbreaker,"8,505.1","8,243.5",11:47
4층,WhiteMage,"8,349.1","8,069.4",11:47
4층,DarkKnight,"8,261.2","8,024.1",11:47
4층,Scholar,"5,770.4","6,292.7",11:47
4층,BlackMage,"14,711.0","14,463.1",11:48
4층,Monk,"14,703.9","14,559.5",11:48
4층,Dragoon,"13,379.7","13,755.7",11:48
4층,Bard,"12,437.2","12,516.2",11:48
4층,DarkKnight,"7,764.7","7,510.3",11:48
4층,WhiteMage,"7,278.9","7,109.0",11:48
4층,Paladin,"7,258.2","7,055.5",11:48
4층,Scholar,"6,895.3","7,459.5",11:48
4층,BlackMage,"15,390.6","14,446.3",11:48
4층,Samurai,"15,090.1","14,076.8",11:48
4층,Dragoon,"13,488.5","13,899.0",11:48
4층,Bard,"12,685.1","12,827.6",11:48
4층,Gunbreaker,"8,419.4","8,114.2",11:48
4층,Paladin,"8,068.9","7,802.6",11:48
4층,Astrologian,"6,011.7","7,373.3",11:48
4층,Scholar,"5,875.8","6,490.2",11:48
4층,BlackMage,"16,566.2","14,698.7",11:50
4층,Dragoon,"13,747.8","14,001.7",11:50
4층,Monk,"13,525.9","13,502.4",11:50
4층,Dancer,"10,192.8","12,004.5",11:50
4층,Gunbreaker,"9,042.6","8,681.3",11:50
4층,Paladin,"8,358.5","8,090.5",11:50
4층,WhiteMage,"6,948.3","6,757.0",11:50
4층,Scholar,"6,282.2","6,928.2",11:50
4층,Monk,"14,393.7","14,446.9",11:51
4층,Dragoon,"13,864.8","14,111.7",11:51
4층,BlackMage,"13,812.3","13,651.2",11:51
4층,Machinist,"12,741.9","12,513.0",11:51
4층,DarkKnight,"8,043.8","7,853.7",11:51
4층,Gunbreaker,"7,676.5","7,406.7",11:51
4층,WhiteMage,"7,614.7","7,501.9",11:51
4층,Scholar,"6,032.2","6,694.7",11:51
4층,Monk,"15,497.2","14,918.3",11:52
4층,Dragoon,"15,290.7","14,096.6",11:52
4층,Summoner,"13,863.9","13,350.6",11:52
4층,Dancer,"11,816.3","13,061.8",11:52
4층,Gunbreaker,"7,911.7","7,456.4",11:52
4층,Paladin,"7,608.1","7,301.2",11:52
4층,Scholar,"6,915.8","7,334.6",11:52
4층,Astrologian,"5,398.7","6,782.9",11:52
4층,Monk,"15,486.0","15,027.1",11:52
4층,Machinist,"13,903.1","13,081.3",11:52
4층,Dragoon,"13,405.8","13,572.1",11:52
4층,RedMage,"11,757.5","12,260.5",11:52
4층,DarkKnight,"8,651.2","8,268.2",11:52
4층,Paladin,"8,152.4","7,910.7",11:52
4층,WhiteMage,"7,381.8","7,243.3",11:52
4층,Astrologian,"5,126.6","6,501.2",11:52
4층,Monk,"14,611.7","14,494.7",11:54
4층,Dragoon,"13,577.9","13,605.3",11:54
4층,Bard,"13,252.7","13,126.9",11:54
4층,RedMage,"12,646.2","13,127.7",11:54
4층,DarkKnight,"8,453.4","8,052.9",11:54
4층,Warrior,"7,672.0","7,418.7",11:54
4층,WhiteMage,"7,415.1","7,299.2",11:54
4층,Scholar,"6,486.4","6,990.0",11:54
4층,Monk,"15,004.7","14,418.6",11:54
4층,Dragoon,"13,972.2","13,825.0",11:54
4층,RedMage,"13,477.7","13,688.1",11:54
