층,팀 이름,유저 이름,직업,DPS,RDPS,DPS 관련 링크,시간
1층,Sweater Squad,Seven Luciel,Bard,"9,859.9","9,961.7",https://www.fflogs.com/zone/rankings/29#boss=65&page=2551,8:56
1층,Sweater Squad,Maia Netliss,BlackMage,"9,725.7","9,452.7",https://www.fflogs.com/zone/rankings/29#boss=65&page=255,8:56
1층,Sweater Squad,Num Num,Monk,"9,536.3","8,915.6",https://www.fflogs.com/zone/rankings/29#boss=65&page=2553,8:56
1층,Sweater Squad,Calystegia Sepium,Dancer,"9,286.9","10,454.4",https://www.fflogs.com/zone/rankings/29#boss=65&page=2552,8:56
1층,Sweater Squad,President Obama,Warrior,"6,871.0","6,657.4",https://www.fflogs.com/zone/rankings/29#boss=65&page=251,8:56
1층,Sweater Squad,Jyin Vana'diel,Gunbreaker,"6,851.8","6,488.1",https://www.fflogs.com/zone/rankings/29#boss=65&page=2555,8:56
1층,Sweater Squad,Tub Tub,WhiteMage,"5,815.3","5,650.8",https://www.fflogs.com/zone/rankings/29#boss=65&page=2554,8:56
1층,Sweater Squad,K'uroi Yari,Scholar,"4,651.7","5,018.0",https://www.fflogs.com/zone/rankings/29#boss=65&page=2549,8:56
1층,Sweater Squad,Limit Break,LimitBreak,958.4,958.4,https://www.fflogs.com/zone/rankings/29#boss=65&page=2564,8:56
1층,Shiny Trash,Toutobi Amari,Monk,"11,275.4","11,208.9",https://www.fflogs.com/zone/rankings/29#boss=65&page=259,8:56
1층,Shiny Trash,Blake Yuanji,Bard,"10,103.9","10,097.6",https://www.fflogs.com/zone/rankings/29#boss=65&page=258,8:56
1층,Shiny Trash,Cypher Kai,Dragoon,"9,946.6","10,069.9",https://www.fflogs.com/zone/rankings/29#boss=65&page=253,8:56
1층,Shiny Trash,Tippy Kai,RedMage,"9,803.6","10,231.6",https://www.fflogs.com/zone/rankings/29#boss=65&page=257,8:56
1층,Shiny Trash,Ja El,Warrior,"6,640.0","6,390.8",https://www.fflogs.com/zone/rankings/29#boss=65&page=251,8:56
1층,Shiny Trash,Rox Dragonheart,Gunbreaker,"5,884.1","5,510.3",https://www.fflogs.com/zone/rankings/29#boss=65&page=255,8:56
