층,팀 이름,유저 이름,직업,DPS,RDPS,DPS 관련 링크,시간
2,Reverie,Kurisou Kyushi,BlackMage,"13,975.8","12,767.5",https://www.fflogs.com/zone/rankings/29#boss=66&page=4459,10:26
2,Reverie,Athis Kutsu,Samurai,"12,260.5","11,962.2",https://www.fflogs.com/zone/rankings/29#boss=66&page=448,10:26
2,Reverie,Manyuaru Kutsu,RedMage,"11,547.9","11,766.4",https://www.fflogs.com/zone/rankings/29#boss=66&page=4411,10:26
2,Reverie,Kaldean Tyl'han,Dancer,"9,028.5","10,426.0",https://www.fflogs.com/zone/rankings/29#boss=66&page=4430,10:26
2,Reverie,Rache Tumet,Warrior,"8,068.9","7,842.4",https://www.fflogs.com/zone/rankings/29#boss=66&page=449,10:26
2,Reverie,Faize Maian,Paladin,"6,229.5","6,111.0",https://www.fflogs.com/zone/rankings/29#boss=66&page=4467,10:26
2,Reverie,Lucifair Morningstar,WhiteMage,"5,742.3","5,642.3",https://www.fflogs.com/zone/rankings/29#boss=66&page=4462,10:26
2,Reverie,Mserou Sero,Scholar,"3,419.9","3,755.7",https://www.fflogs.com/zone/rankings/29#boss=66&page=44122,10:26
2,Reverie,Limit Break,LimitBreak,"1,084.2","1,084.2",https://www.fflogs.com/zone/rankings/29#boss=66&page=4420,10:26
2,The Tenshodo,Albireo Cygnus,Dragoon,"14,468.5","13,411.0",https://www.fflogs.com/zone/rankings/29#boss=66&page=447,10:26
2,The Tenshodo,Kiralynn Aylseii,RedMage,"11,673.7","11,908.2",https://www.fflogs.com/zone/rankings/29#boss=66&page=444,10:26
2,The Tenshodo,Ayame Faith,Bard,"10,357.1","10,391.2",https://www.fflogs.com/zone/rankings/29#boss=66&page=448,10:26
2,The Tenshodo,Leunov Adearra,Dancer,"9,848.2","11,019.8",https://www.fflogs.com/zone/rankings/29#boss=66&page=446,10:26
2,The Tenshodo,Tansoric Tribal,Paladin,"7,916.2","7,626.8",https://www.fflogs.com/zone/rankings/29#boss=66&page=441,10:26
2,The Tenshodo,Niko Divide,Gunbreaker,"7,038.7","6,782.3",https://www.fflogs.com/zone/rankings/29#boss=66&page=445,10:26
2,The Tenshodo,Snake Zone,WhiteMage,"5,173.1","4,965.1",https://www.fflogs.com/zone/rankings/29#boss=66&page=443,10:26
2,The Tenshodo,Amaruka Blochwei,Scholar,"3,856.5","4,227.6",https://www.fflogs.com/zone/rankings/29#boss=66&page=449,10:26
2,The Tenshodo,Limit Break,LimitBreak,"1,023.5","1,023.5",https://www.fflogs.com/zone/rankings/29#boss=66&page=4418,10:26
2,Fire Bringer,Tynervial Rillveroix,BlackMage,"12,200.7","11,829.6",https://www.fflogs.com/zone/rankings/29#boss=66&page=446,10:26
2,Fire Bringer,Zenmai Torioi,RedMage,"11,264.6","11,239.5",https://www.fflogs.com/zone/rankings/29#boss=66&page=442,10:26
2,Fire Bringer,Chisgeant Forchetaix,Bard,"10,972.1","11,024.8",https://www.fflogs.com/zone/rankings/29#boss=66&page=441,10:26
